,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,335,-2,716,34.05,1.40,-0.05,"1,400",0.80,1.40,500,"18,750.00",150,"1,781.45","1,833.45",100,-,"1,666.65",-,-,-,50,
,"3,878",-8,"4,500",36.00,1.85,0.40,"1,200",1.15,1.85,50,"18,800.00",400,"1,827.60","1,862.45",250,149.90,"1,858.15",55.75,514,-428,"1,155",
,256,12,317,35.35,1.35,-0.15,50,0.90,1.35,350,"18,850.00","1,500","1,851.15","1,929.95",250,-,"1,769.35",-,-,-,13,
,"1,287",354,"2,660",36.72,1.50,0.05,550,0.95,1.40,850,"18,900.00",200,"1,947.70","1,993.85","1,350",214.95,"1,960.00",58.80,6,-3,253,
,213,100,498,36.43,1.15,-0.20,"4,150",0.80,1.35,700,"18,950.00","1,500","1,944.45","2,025.85",200,-,"1,884.30",-,-,-,59,
,"67,093","11,889","82,586",37.53,1.25,-0.20,850,1.25,1.30,"31,300","19,000.00",50,"2,056.70","2,065.80",50,155.35,"2,063.10",62.34,838,-136,"8,782",
,167,60,433,37.96,1.15,0.10,"5,400",0.65,1.20,50,"19,050.00","1,500","2,040.80","2,134.50",150,-,"1,555.25",-,-,-,35,
,"2,625",-27,"1,518",39.86,1.50,0.20,"1,800",1.10,1.45,"1,600","19,100.00",300,"2,149.40","2,170.00",200,90.65,"2,125.00",-,20,-16,266,
,80,-62,261,39.29,1.10,-0.20,"1,800",0.60,1.20,650,"19,150.00","1,800","2,177.60","2,248.20","1,800",-,"1,189.70",-,-,-,5,
,"1,014",102,972,41.10,1.40,-,"7,800",0.70,1.60,300,"19,200.00",150,"2,260.00","2,266.80",100,193.00,"2,221.00",-,4,-4,72,
,86,-2,100,40.59,1.05,-0.20,100,1.00,2.60,"1,800","19,250.00","1,800","2,277.70","2,380.10","1,500",-,"1,306.00",-,-,-,32,
,"1,652",7,933,41.54,1.10,-0.25,"1,750",0.90,1.25,850,"19,300.00",100,"2,350.40","2,365.70",100,296.20,"2,371.20",72.32,9,3,97,
,104,18,122,42.07,1.05,-0.25,100,0.80,1.20,"1,350","19,350.00","1,800","2,377.20","2,449.75","1,800",-,"2,281.00",-,-,-,30,
,800,70,"1,217",42.81,1.05,-0.25,150,0.75,1.20,800,"19,400.00",50,"2,429.45","2,489.70",350,75.20,"2,415.00",-,5,-3,42,
,122,9,157,43.32,1.00,-0.05,400,0.95,1.15,50,"19,450.00","1,800","2,472.65","2,548.75","1,800",-,"1,472.25",-,-,-,7,
,"24,717","13,207","43,232",44.48,1.10,-0.05,550,1.00,1.15,700,"19,500.00",50,"2,549.65","2,566.45",200,140.70,"2,556.60",70.48,176,-71,"2,026",
,171,58,479,44.30,0.90,-0.25,100,0.90,1.20,"1,800","19,550.00","1,500","2,488.65","2,630.65",50,-,"1,598.05",-,-,-,37,
,"1,559",169,"1,077",45.93,1.10,-0.15,900,0.95,1.10,"1,450","19,600.00",400,"2,622.10","2,682.40",400,195.00,"2,610.00",-,4,-3,42,
,303,157,553,46.43,1.05,-0.15,50,1.00,2.00,"9,000","19,650.00","1,500","2,639.30","2,737.55",50,-5.90,"2,577.40",-,-,-,28,
,"1,928",33,"1,536",46.68,0.95,-0.25,650,0.95,1.05,"2,100","19,700.00",400,"2,720.50","2,766.65",50,189.00,"2,695.00",-,5,-4,57,
,615,-207,"1,900",47.13,0.90,-0.30,"1,800",0.70,0.95,"1,450","19,750.00",50,"2,774.20","2,834.95",100,-,"2,553.85",-,-,-,51,
,"43,939","2,943","46,074",50.61,0.90,-0.10,"6,250",0.90,0.95,750,"20,000.00",150,"3,050.40","3,063.80",250,142.75,"3,055.00",79.99,"1,146",-951,"9,655",
,"8,471","1,043","6,685",63.18,0.80,-0.05,950,0.75,0.80,350,"21,000.00",400,"4,018.00","4,060.65",100,156.95,"4,058.85",101.66,755,131,"3,626",
,"7,582","1,493","3,482",75.45,0.80,-0.05,"1,000",0.70,0.80,"1,300","22,000.00",500,"5,041.10","5,073.35",50,147.65,"5,062.35",122.04,557,-524,"3,464",
,"3,681","1,333","2,595",86.49,0.75,-0.05,450,0.70,0.75,100,"23,000.00","1,800","6,013.75","6,065.90",250,219.65,"6,069.65",143.66,4,2,23,
,"4,916","2,286","4,685",95.54,0.60,-0.15,"2,650",0.60,0.70,"1,800","24,000.00","1,800","7,015.90","7,102.75",400,-,-,-,-,-,-,
