,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"36,591","-4,990","92,435",39.85,0.75,-0.45,"17,150",0.55,0.75,"2,600","17,900.00",100,918.50,923.20,400,39.35,917.75,-,"1,173",-622,"8,282",
,"5,425","-1,756","27,446",40.88,0.50,-0.60,350,0.50,0.60,"8,350","17,950.00",150,968.50,976.65,150,83.10,"1,003.85",74.49,478,-170,799,
,"2,08,486","-51,883","3,45,895",43.11,0.60,-0.65,"38,300",0.55,0.60,"10,800","18,000.00",150,"1,018.15","1,023.25",200,50.25,"1,021.30",-,"5,045","-2,432","22,476",
,"3,482",-846,"21,203",44.46,0.25,-0.85,"16,900",0.25,0.60,"3,050","18,050.00","1,800","1,039.35","1,097.15",400,96.65,"1,066.65",76.45,37,-31,360,
,"25,971","-4,473","58,014",44.60,0.35,-0.70,"95,300",0.35,0.40,"2,050","18,100.00",50,"1,121.00","1,128.55","1,100",54.60,"1,140.70",69.38,354,-172,"1,983",
,"2,033",-327,"16,562",47.48,0.50,-0.45,550,0.35,0.50,"2,800","18,150.00",150,"1,168.30","1,196.10",700,70.65,"1,188.00",67.76,18,-4,178,
,"39,794","-3,439","77,227",48.64,0.35,-0.50,"36,200",0.35,0.40,"7,550","18,200.00",100,"1,217.95","1,229.05",150,33.90,"1,220.00",-,757,-453,"2,566",
,"3,293",-29,"17,469",50.94,0.40,-0.45,"1,600",0.35,0.40,50,"18,250.00",100,"1,268.10","1,287.75",150,71.85,"1,223.40",-,8,-,663,
,"19,129","-2,003","37,206",52.05,0.35,-0.45,"7,250",0.35,0.40,"7,250","18,300.00",300,"1,318.55","1,347.05",500,40.95,"1,321.25",-,"1,757",548,"3,486",
,"1,534","-1,279","6,102",53.73,0.40,-0.45,"2,650",0.35,0.60,100,"18,350.00",150,"1,362.10","1,400.20",300,7.15,"1,323.15",-,4,-,721,
,"13,369",-338,"23,112",54.71,0.40,-0.35,"14,550",0.30,0.40,"1,100","18,400.00",50,"1,416.55","1,422.85",100,36.30,"1,418.95",-,"1,775",771,"2,801",
,534,-142,"1,252",57.08,0.45,-0.35,250,0.40,0.90,200,"18,450.00",100,"1,458.90","1,480.65",150,14.00,"1,450.00",-,1,-,103,
,"53,421","-4,504","90,135",58.74,0.40,-0.30,"18,550",0.35,0.40,"3,500","18,500.00",500,"1,516.25","1,522.95",400,37.95,"1,518.85",-,"3,606","1,435","8,650",
,956,-6,682,61.07,0.40,-0.40,400,0.40,0.50,750,"18,550.00","1,800","1,538.80","1,605.50","1,800",-,-,-,-,-,51,
,"11,349",-386,"3,684",63.38,0.45,-0.35,450,0.45,0.60,500,"18,600.00",450,"1,615.75","1,642.45",150,41.65,"1,630.00",-,229,-176,766,
,421,18,476,64.38,0.40,-0.35,"5,400",0.30,0.40,500,"18,650.00",150,"1,659.10","1,701.85",100,-,-,-,-,-,23,
,"11,130","1,473","9,288",67.31,0.55,-0.30,"2,300",0.50,0.65,"3,600","18,700.00",450,"1,709.65","1,724.35",200,55.85,"1,730.90",-,120,-109,365,
,604,225,"1,119",67.65,0.55,-0.25,"5,400",0.30,0.55,100,"18,750.00",200,"1,756.35","1,825.55","1,500",-,-,-,-,-,50,
,"3,932",497,"3,487",69.97,0.60,-0.10,200,0.45,0.60,100,"18,800.00",250,"1,815.35","1,823.50",100,73.90,"1,831.05",62.91,122,-116,979,
,663,218,566,71.60,0.50,-0.35,650,0.45,0.60,"1,800","18,850.00",200,"1,854.85","1,910.15","1,500",-,-,-,-,-,13,
,"2,101",785,"3,472",73.22,0.60,-0.20,"3,600",0.30,0.60,"1,600","18,900.00",100,"1,908.75","1,947.35",400,96.60,"1,920.00",-,201,-162,86,
,431,132,427,74.83,0.45,-0.30,300,0.45,0.60,"1,800","18,950.00","1,800","1,937.25","2,002.35","1,800",-,-,-,-,-,59,
,"61,644","-4,615","55,319",76.44,0.45,-0.20,"7,200",0.40,0.45,"8,050","19,000.00",50,"2,018.40","2,025.40",50,41.90,"2,024.10",-,"2,799","-1,487","6,405",
,195,-28,218,76.43,0.40,-0.25,350,0.40,0.70,150,"19,050.00",300,"2,042.20","2,105.50",50,-,-,-,-,-,35,
,"2,591",-61,875,77.06,0.35,-0.35,550,0.35,0.65,500,"19,100.00",450,"2,114.75","2,127.15",50,65.00,"2,140.00",113.31,79,-35,216,
,126,-18,221,80.41,0.45,-0.25,700,0.40,0.65,50,"19,150.00","1,800","2,139.00","2,206.45","1,800",-,-,-,-,-,5,
,"1,300",125,"1,069",81.10,0.40,-0.30,"1,650",0.40,0.65,250,"19,200.00",50,"2,210.95","2,227.20",100,44.45,"2,236.00",108.05,7,-6,58,
,211,105,306,83.53,0.45,-0.15,550,0.40,0.65,100,"19,250.00","1,800","2,237.30","2,302.05","1,800",-,-,-,-,-,32,
,"2,098",-276,"3,080",85.08,0.40,-0.35,550,0.40,0.50,50,"19,300.00",250,"2,315.15","2,327.05",100,130.00,"2,350.00",137.67,32,-16,77,
,157,-20,107,88.97,0.60,-0.05,450,0.20,0.60,400,"19,350.00","1,800","2,336.80","2,401.60","1,800",-,-,-,-,-,30,
,"1,280",213,"1,230",86.20,0.35,-0.35,600,0.40,0.55,100,"19,400.00",50,"2,404.75","2,427.30",100,92.50,"2,427.50",-,7,-5,35,
,281,131,540,89.69,0.45,-0.15,150,0.45,0.70,"1,150","19,450.00","1,500","2,387.80","2,502.30","1,800",-,-,-,-,-,7,
,"18,608",684,"36,682",88.02,0.25,-0.35,"30,600",0.25,0.30,"1,650","19,500.00",50,"2,515.25","2,538.55",50,48.40,"2,519.70",-,454,-400,"1,251",
,368,14,852,90.69,0.40,-0.15,100,0.40,0.70,"2,000","19,550.00",300,"2,542.00","2,612.30","1,500",-,-,-,-,-,37,
,"1,962",280,"1,448",94.24,0.40,-0.30,"3,150",0.40,0.50,50,"19,600.00",250,"2,601.50","2,642.50",250,95.00,"2,640.00",133.95,5,-3,35,
,354,24,387,94.74,0.40,-0.15,100,0.40,0.55,400,"19,650.00",200,"2,636.75","2,725.70","1,500",-,-,-,-,-,28,
,"2,288",315,"1,434",96.23,0.40,-0.25,"11,200",0.40,0.50,"1,200","19,700.00",200,"2,708.20","2,741.65",400,43.00,"2,738.00",133.17,20,-16,41,
,731,231,776,97.71,0.40,-0.25,"2,900",0.40,0.60,"1,500","19,750.00",350,"2,741.70","2,810.00",100,-,-,-,-,-,51,
,"47,354","5,166","36,722",103.82,0.35,-0.35,"7,050",0.35,0.50,"16,250","20,000.00",100,"3,016.40","3,026.25",50,42.70,"3,023.80",-,"2,418","-1,105","7,543",
,"11,556","2,653","9,494",129.85,0.25,-0.35,"17,450",0.25,0.45,"5,900","21,000.00",250,"4,015.80","4,035.75",50,52.65,"4,027.25",-,"1,798",-944,"1,964",
,"9,893","1,356","6,323",157.35,0.30,-0.30,"6,650",0.30,0.35,900,"22,000.00",50,"5,020.40","5,033.95",100,29.90,"5,015.35",199.06,"1,462",-686,"2,036",
,"4,993",776,"2,621",181.69,0.30,-0.35,"15,650",0.30,0.35,"1,000","23,000.00","1,800","5,982.55","6,061.25",400,-,-,-,-,-,23,
,"7,772","2,631","6,138",199.63,0.30,-0.25,"16,600",0.25,0.35,"10,000","24,000.00","1,800","6,976.35","7,077.90",400,-,-,-,-,-,-,
